eval,best_cost,uncovered,redundancy,score
1,2624,0,0,2624.0000
100,2352,0,0,2352.0000
200,2275,0,0,2275.0000
300,2234,0,0,2234.0000
400,2187,0,0,2187.0000
500,2004,0,0,2004.0000
600,1972,0,0,1972.0000
700,1889,0,0,1889.0000
800,1866,0,0,1866.0000
900,1782,0,0,1782.0000
1000,1707,0,0,1707.0000
1100,1707,0,0,1707.0000
1200,1692,0,0,1692.0000
1300,1644,0,0,1644.0000
1400,1644,0,0,1644.0000
1500,1644,0,0,1644.0000
1600,1576,0,0,1576.0000
1700,1449,0,0,1449.0000
1800,1423,0,0,1423.0000
1900,1423,0,0,1423.0000
2000,1380,0,0,1380.0000
2100,1366,0,0,1366.0000
2200,1276,0,0,1276.0000
2300,1183,0,0,1183.0000
2400,1137,0,0,1137.0000
2500,1058,0,0,1058.0000
2600,1058,0,0,1058.0000
2700,1058,0,0,1058.0000
2800,1058,0,0,1058.0000
2900,979,0,0,979.0000
3000,917,0,0,917.0000
3100,917,0,0,917.0000
3200,917,0,0,917.0000
3300,861,0,0,861.0000
3400,861,0,0,861.0000
3500,858,0,0,858.0000
3600,846,0,0,846.0000
3700,828,0,0,828.0000
3800,828,0,0,828.0000
3900,828,0,0,828.0000
4000,826,0,0,826.0000
4100,798,0,0,798.0000
4200,798,0,0,798.0000
4300,771,0,0,771.0000
4400,771,0,0,771.0000
4500,771,0,0,771.0000
4600,769,0,0,769.0000
4700,769,0,0,769.0000
4800,769,0,0,769.0000
4900,725,0,0,725.0000
5000,696,0,0,696.0000
5100,696,0,0,696.0000
5200,696,0,0,696.0000
5300,696,0,0,696.0000
5400,696,0,0,696.0000
5500,696,0,0,696.0000
5600,696,0,0,696.0000
5700,696,0,0,696.0000
5800,696,0,0,696.0000
5900,696,0,0,696.0000
6000,696,0,0,696.0000
6100,679,0,0,679.0000
6200,616,0,0,616.0000
6300,616,0,0,616.0000
6400,616,0,0,616.0000
6500,616,0,0,616.0000
6600,616,0,0,616.0000
6700,616,0,0,616.0000
6800,612,0,0,612.0000
6900,612,0,0,612.0000
7000,612,0,0,612.0000
7100,612,0,0,612.0000
7200,612,0,0,612.0000
7300,612,0,0,612.0000
7400,612,0,0,612.0000
7500,612,0,0,612.0000
7600,533,0,0,533.0000
7700,533,0,0,533.0000
7800,533,0,0,533.0000
7900,533,0,0,533.0000
8000,533,0,0,533.0000
8100,533,0,0,533.0000
8200,533,0,0,533.0000
8300,533,0,0,533.0000
8400,510,0,0,510.0000
8500,510,0,0,510.0000
8600,510,0,0,510.0000
8700,486,0,0,486.0000
8800,486,0,0,486.0000
8900,486,0,0,486.0000
9000,486,0,0,486.0000
9100,486,0,0,486.0000
9200,486,0,0,486.0000
9300,486,0,0,486.0000
9400,486,0,0,486.0000
9500,486,0,0,486.0000
9600,484,0,0,484.0000
9700,484,0,0,484.0000
9800,484,0,0,484.0000
9900,484,0,0,484.0000
10000,483,0,0,483.0000
10100,483,0,0,483.0000
10200,483,0,0,483.0000
10300,483,0,0,483.0000
10400,483,0,0,483.0000
10500,483,0,0,483.0000
10600,483,0,0,483.0000
10700,466,0,0,466.0000
10800,466,0,0,466.0000
10900,466,0,0,466.0000
11000,466,0,0,466.0000
11100,466,0,0,466.0000
11200,466,0,0,466.0000
11300,466,0,0,466.0000
11400,466,0,0,466.0000
11500,466,0,0,466.0000
11600,466,0,0,466.0000
11700,466,0,0,466.0000
11800,466,0,0,466.0000
11900,464,0,0,464.0000
12000,464,0,0,464.0000
12100,464,0,0,464.0000
12200,464,0,0,464.0000
12300,464,0,0,464.0000
12400,464,0,0,464.0000
12500,464,0,0,464.0000
12600,464,0,0,464.0000
12700,463,0,0,463.0000
12800,463,0,0,463.0000
12900,463,0,0,463.0000
13000,463,0,0,463.0000
13100,463,0,0,463.0000
13200,463,0,0,463.0000
13300,463,0,0,463.0000
13400,463,0,0,463.0000
13500,463,0,0,463.0000
13600,463,0,0,463.0000
13700,463,0,0,463.0000
13800,463,0,0,463.0000
13900,463,0,0,463.0000
14000,463,0,0,463.0000
14100,463,0,0,463.0000
14200,463,0,0,463.0000
14300,463,0,0,463.0000
14400,463,0,0,463.0000
14500,463,0,0,463.0000
14600,463,0,0,463.0000
14700,463,0,0,463.0000
14800,463,0,0,463.0000
14900,463,0,0,463.0000
15000,463,0,0,463.0000
15100,463,0,0,463.0000
15200,463,0,0,463.0000
15300,463,0,0,463.0000
15400,463,0,0,463.0000
15500,463,0,0,463.0000
15600,463,0,0,463.0000
15700,463,0,0,463.0000
15800,463,0,0,463.0000
15900,463,0,0,463.0000
16000,463,0,0,463.0000
16100,463,0,0,463.0000
16200,463,0,0,463.0000
16300,463,0,0,463.0000
16400,463,0,0,463.0000
16500,463,0,0,463.0000
16600,463,0,0,463.0000
16700,463,0,0,463.0000
16800,463,0,0,463.0000
16900,463,0,0,463.0000
17000,463,0,0,463.0000
17100,463,0,0,463.0000
17200,463,0,0,463.0000
17300,463,0,0,463.0000
17400,463,0,0,463.0000
17500,463,0,0,463.0000
17600,463,0,0,463.0000
17700,463,0,0,463.0000
17800,463,0,0,463.0000
17900,463,0,0,463.0000
18000,463,0,0,463.0000
18100,463,0,0,463.0000
18200,463,0,0,463.0000
18300,463,0,0,463.0000
18400,463,0,0,463.0000
18500,463,0,0,463.0000
18600,463,0,0,463.0000
