eval,best_cost,uncovered,redundancy,score
1,3339,0,0,3339.0000
100,2563,0,0,2563.0000
200,2155,0,0,2155.0000
300,1865,0,0,1865.0000
400,1865,0,0,1865.0000
500,1802,0,0,1802.0000
600,1662,0,0,1662.0000
700,1483,0,0,1483.0000
800,1356,0,0,1356.0000
900,1207,0,0,1207.0000
1000,1173,0,0,1173.0000
1100,1152,0,0,1152.0000
1200,1141,0,0,1141.0000
1300,1022,0,0,1022.0000
1400,1022,0,0,1022.0000
1500,993,0,0,993.0000
1600,993,0,0,993.0000
1700,965,0,0,965.0000
1800,928,0,0,928.0000
1900,896,0,0,896.0000
2000,894,0,0,894.0000
2100,845,0,0,845.0000
2200,812,0,0,812.0000
2300,812,0,0,812.0000
2400,787,0,0,787.0000
2500,736,0,0,736.0000
2600,736,0,0,736.0000
2700,732,0,0,732.0000
2800,731,0,0,731.0000
2900,724,0,0,724.0000
3000,724,0,0,724.0000
3100,724,0,0,724.0000
3200,675,0,0,675.0000
3300,675,0,0,675.0000
3400,675,0,0,675.0000
3500,657,0,0,657.0000
3600,657,0,0,657.0000
3700,657,0,0,657.0000
3800,646,0,0,646.0000
3900,646,0,0,646.0000
4000,613,0,0,613.0000
4100,613,0,0,613.0000
4200,610,0,0,610.0000
4300,610,0,0,610.0000
4400,610,0,0,610.0000
4500,610,0,0,610.0000
4600,610,0,0,610.0000
4700,610,0,0,610.0000
4800,610,0,0,610.0000
4900,610,0,0,610.0000
5000,610,0,0,610.0000
5100,610,0,0,610.0000
5200,610,0,0,610.0000
5300,610,0,0,610.0000
5400,610,0,0,610.0000
5500,610,0,0,610.0000
5600,610,0,0,610.0000
5700,610,0,0,610.0000
5800,610,0,0,610.0000
5900,610,0,0,610.0000
6000,610,0,0,610.0000
6100,610,0,0,610.0000
6200,610,0,0,610.0000
6300,610,0,0,610.0000
6400,610,0,0,610.0000
6500,610,0,0,610.0000
6600,610,0,0,610.0000
6700,610,0,0,610.0000
6800,607,0,0,607.0000
6900,607,0,0,607.0000
7000,607,0,0,607.0000
7100,607,0,0,607.0000
7200,607,0,0,607.0000
7300,607,0,0,607.0000
7400,607,0,0,607.0000
7500,607,0,0,607.0000
7600,607,0,0,607.0000
7700,607,0,0,607.0000
7800,607,0,0,607.0000
7900,607,0,0,607.0000
8000,607,0,0,607.0000
8100,607,0,0,607.0000
8200,607,0,0,607.0000
8300,607,0,0,607.0000
8400,607,0,0,607.0000
8500,607,0,0,607.0000
8600,607,0,0,607.0000
8700,607,0,0,607.0000
8800,607,0,0,607.0000
8900,607,0,0,607.0000
9000,607,0,0,607.0000
9100,607,0,0,607.0000
9200,607,0,0,607.0000
9300,607,0,0,607.0000
9400,607,0,0,607.0000
9500,607,0,0,607.0000
9600,607,0,0,607.0000
9700,607,0,0,607.0000
9800,607,0,0,607.0000
9900,607,0,0,607.0000
10000,607,0,0,607.0000
10100,607,0,0,607.0000
10200,607,0,0,607.0000
10300,607,0,0,607.0000
10400,607,0,0,607.0000
10500,607,0,0,607.0000
10600,607,0,0,607.0000
10700,607,0,0,607.0000
10800,607,0,0,607.0000
10900,607,0,0,607.0000
11000,607,0,0,607.0000
11100,607,0,0,607.0000
11200,607,0,0,607.0000
11300,607,0,0,607.0000
11400,607,0,0,607.0000
11500,607,0,0,607.0000
11600,607,0,0,607.0000
11700,607,0,0,607.0000
11800,607,0,0,607.0000
11900,607,0,0,607.0000
12000,607,0,0,607.0000
12100,607,0,0,607.0000
12200,607,0,0,607.0000
12300,607,0,0,607.0000
12400,607,0,0,607.0000
12500,607,0,0,607.0000
12600,607,0,0,607.0000
12700,607,0,0,607.0000
12800,607,0,0,607.0000
12900,607,0,0,607.0000
13000,607,0,0,607.0000
13100,607,0,0,607.0000
13200,607,0,0,607.0000
13300,607,0,0,607.0000
13400,607,0,0,607.0000
13500,607,0,0,607.0000
13600,607,0,0,607.0000
13700,607,0,0,607.0000
13800,607,0,0,607.0000
13900,607,0,0,607.0000
14000,607,0,0,607.0000
14100,607,0,0,607.0000
14200,607,0,0,607.0000
14300,607,0,0,607.0000
14400,607,0,0,607.0000
14500,607,0,0,607.0000
14600,607,0,0,607.0000
14700,607,0,0,607.0000
14800,607,0,0,607.0000
14900,607,0,0,607.0000
15000,607,0,0,607.0000
15100,607,0,0,607.0000
15200,607,0,0,607.0000
15300,607,0,0,607.0000
15400,607,0,0,607.0000
15500,607,0,0,607.0000
15600,607,0,0,607.0000
15700,607,0,0,607.0000
15800,607,0,0,607.0000
15900,607,0,0,607.0000
16000,607,0,0,607.0000
16100,607,0,0,607.0000
16200,607,0,0,607.0000
16300,607,0,0,607.0000
16400,607,0,0,607.0000
16500,607,0,0,607.0000
