eval,best_cost,uncovered,redundancy,score
1,3187,0,0,3187.0000
100,2647,0,0,2647.0000
200,2433,0,0,2433.0000
300,1901,0,0,1901.0000
400,1615,0,0,1615.0000
500,1596,0,0,1596.0000
600,1561,0,0,1561.0000
700,1432,0,0,1432.0000
800,1432,0,0,1432.0000
900,1362,0,0,1362.0000
1000,1215,0,0,1215.0000
1100,1207,0,0,1207.0000
1200,1024,0,0,1024.0000
1300,957,0,0,957.0000
1400,957,0,0,957.0000
1500,923,0,0,923.0000
1600,916,0,0,916.0000
1700,916,0,0,916.0000
1800,837,0,0,837.0000
1900,778,0,0,778.0000
2000,713,0,0,713.0000
2100,713,0,0,713.0000
2200,708,0,0,708.0000
2300,708,0,0,708.0000
2400,708,0,0,708.0000
2500,701,0,0,701.0000
2600,701,0,0,701.0000
2700,695,0,0,695.0000
2800,695,0,0,695.0000
2900,685,0,0,685.0000
3000,685,0,0,685.0000
3100,682,0,0,682.0000
3200,668,0,0,668.0000
3300,668,0,0,668.0000
3400,668,0,0,668.0000
3500,668,0,0,668.0000
3600,668,0,0,668.0000
3700,668,0,0,668.0000
3800,668,0,0,668.0000
3900,668,0,0,668.0000
4000,668,0,0,668.0000
4100,668,0,0,668.0000
4200,668,0,0,668.0000
4300,668,0,0,668.0000
4400,668,0,0,668.0000
4500,668,0,0,668.0000
4600,668,0,0,668.0000
4700,668,0,0,668.0000
4800,668,0,0,668.0000
4900,668,0,0,668.0000
5000,668,0,0,668.0000
5100,668,0,0,668.0000
5200,668,0,0,668.0000
5300,668,0,0,668.0000
5400,668,0,0,668.0000
5500,668,0,0,668.0000
5600,668,0,0,668.0000
5700,668,0,0,668.0000
5800,668,0,0,668.0000
5900,668,0,0,668.0000
6000,668,0,0,668.0000
6100,668,0,0,668.0000
6200,668,0,0,668.0000
6300,668,0,0,668.0000
6400,668,0,0,668.0000
6500,668,0,0,668.0000
6600,668,0,0,668.0000
6700,668,0,0,668.0000
6800,668,0,0,668.0000
6900,668,0,0,668.0000
7000,668,0,0,668.0000
7100,668,0,0,668.0000
7200,668,0,0,668.0000
7300,668,0,0,668.0000
7400,668,0,0,668.0000
7500,668,0,0,668.0000
7600,668,0,0,668.0000
7700,668,0,0,668.0000
7800,668,0,0,668.0000
7900,668,0,0,668.0000
8000,668,0,0,668.0000
8100,668,0,0,668.0000
8200,668,0,0,668.0000
8300,668,0,0,668.0000
8400,668,0,0,668.0000
8500,668,0,0,668.0000
8600,668,0,0,668.0000
8700,668,0,0,668.0000
8800,668,0,0,668.0000
8900,668,0,0,668.0000
9000,668,0,0,668.0000
9100,668,0,0,668.0000
9200,668,0,0,668.0000
9300,668,0,0,668.0000
9400,668,0,0,668.0000
9500,668,0,0,668.0000
9600,668,0,0,668.0000
9700,668,0,0,668.0000
9800,668,0,0,668.0000
9900,668,0,0,668.0000
10000,668,0,0,668.0000
10100,668,0,0,668.0000
10200,668,0,0,668.0000
10300,668,0,0,668.0000
10400,668,0,0,668.0000
10500,668,0,0,668.0000
10600,668,0,0,668.0000
10700,668,0,0,668.0000
10800,668,0,0,668.0000
10900,668,0,0,668.0000
11000,668,0,0,668.0000
11100,668,0,0,668.0000
11200,668,0,0,668.0000
11300,668,0,0,668.0000
11400,668,0,0,668.0000
11500,668,0,0,668.0000
11600,668,0,0,668.0000
11700,668,0,0,668.0000
11800,668,0,0,668.0000
11900,668,0,0,668.0000
12000,668,0,0,668.0000
12100,668,0,0,668.0000
12200,668,0,0,668.0000
12300,668,0,0,668.0000
12400,668,0,0,668.0000
12500,668,0,0,668.0000
12600,668,0,0,668.0000
12700,668,0,0,668.0000
12800,668,0,0,668.0000
12900,668,0,0,668.0000
13000,668,0,0,668.0000
13100,668,0,0,668.0000
13200,668,0,0,668.0000
13300,668,0,0,668.0000
13400,668,0,0,668.0000
13500,668,0,0,668.0000
13600,668,0,0,668.0000
13700,668,0,0,668.0000
13800,668,0,0,668.0000
13900,668,0,0,668.0000
14000,668,0,0,668.0000
14100,668,0,0,668.0000
14200,668,0,0,668.0000
14300,668,0,0,668.0000
14400,668,0,0,668.0000
14500,668,0,0,668.0000
14600,668,0,0,668.0000
14700,668,0,0,668.0000
14800,668,0,0,668.0000
14900,668,0,0,668.0000
