eval,best_cost,uncovered,redundancy,score
1,2241,0,0,2241.0000
100,814,0,0,814.0000
200,587,0,0,587.0000
300,563,0,0,563.0000
400,559,0,0,559.0000
500,544,0,0,544.0000
600,544,0,0,544.0000
700,544,0,0,544.0000
800,544,0,0,544.0000
900,544,0,0,544.0000
1000,544,0,0,544.0000
1100,544,0,0,544.0000
1200,544,0,0,544.0000
1300,544,0,0,544.0000
1400,544,0,0,544.0000
1500,544,0,0,544.0000
1600,544,0,0,544.0000
1700,544,0,0,544.0000
1800,544,0,0,544.0000
1900,544,0,0,544.0000
2000,544,0,0,544.0000
2100,544,0,0,544.0000
2200,544,0,0,544.0000
2300,544,0,0,544.0000
2400,544,0,0,544.0000
2500,544,0,0,544.0000
2600,544,0,0,544.0000
2700,544,0,0,544.0000
2800,544,0,0,544.0000
2900,544,0,0,544.0000
3000,544,0,0,544.0000
3100,544,0,0,544.0000
3200,544,0,0,544.0000
3300,544,0,0,544.0000
3400,544,0,0,544.0000
3500,544,0,0,544.0000
3600,544,0,0,544.0000
3700,544,0,0,544.0000
3800,544,0,0,544.0000
3900,544,0,0,544.0000
4000,544,0,0,544.0000
4100,544,0,0,544.0000
4200,544,0,0,544.0000
4300,544,0,0,544.0000
4400,544,0,0,544.0000
4500,544,0,0,544.0000
4600,544,0,0,544.0000
4700,544,0,0,544.0000
4800,544,0,0,544.0000
4900,544,0,0,544.0000
5000,544,0,0,544.0000
5100,544,0,0,544.0000
5200,544,0,0,544.0000
5300,544,0,0,544.0000
5400,544,0,0,544.0000
5500,544,0,0,544.0000
5600,544,0,0,544.0000
5700,544,0,0,544.0000
5800,544,0,0,544.0000
5900,544,0,0,544.0000
6000,544,0,0,544.0000
6100,544,0,0,544.0000
6200,544,0,0,544.0000
6300,544,0,0,544.0000
6400,544,0,0,544.0000
6500,544,0,0,544.0000
6600,544,0,0,544.0000
6700,544,0,0,544.0000
6800,544,0,0,544.0000
6900,544,0,0,544.0000
7000,544,0,0,544.0000
7100,544,0,0,544.0000
7200,544,0,0,544.0000
7300,544,0,0,544.0000
7400,544,0,0,544.0000
7500,544,0,0,544.0000
7600,544,0,0,544.0000
7700,544,0,0,544.0000
7800,544,0,0,544.0000
7900,544,0,0,544.0000
8000,544,0,0,544.0000
8100,544,0,0,544.0000
8200,544,0,0,544.0000
8300,544,0,0,544.0000
8400,544,0,0,544.0000
8500,544,0,0,544.0000
8600,544,0,0,544.0000
8700,544,0,0,544.0000
8800,544,0,0,544.0000
8900,544,0,0,544.0000
9000,544,0,0,544.0000
9100,544,0,0,544.0000
9200,544,0,0,544.0000
9300,544,0,0,544.0000
9400,544,0,0,544.0000
9500,544,0,0,544.0000
9600,544,0,0,544.0000
9700,544,0,0,544.0000
9800,544,0,0,544.0000
9900,544,0,0,544.0000
10000,544,0,0,544.0000
10100,544,0,0,544.0000
10200,544,0,0,544.0000
10300,544,0,0,544.0000
10400,544,0,0,544.0000
10500,544,0,0,544.0000
10600,544,0,0,544.0000
10700,544,0,0,544.0000
10800,544,0,0,544.0000
10900,544,0,0,544.0000
11000,544,0,0,544.0000
11100,544,0,0,544.0000
11200,544,0,0,544.0000
11300,544,0,0,544.0000
11400,544,0,0,544.0000
11500,544,0,0,544.0000
11600,544,0,0,544.0000
11700,544,0,0,544.0000
11800,544,0,0,544.0000
11900,544,0,0,544.0000
12000,544,0,0,544.0000
12100,544,0,0,544.0000
12200,544,0,0,544.0000
12300,544,0,0,544.0000
12400,544,0,0,544.0000
12500,544,0,0,544.0000
12600,544,0,0,544.0000
12700,544,0,0,544.0000
12800,544,0,0,544.0000
12900,544,0,0,544.0000
13000,544,0,0,544.0000
13100,544,0,0,544.0000
13200,544,0,0,544.0000
13300,544,0,0,544.0000
13400,544,0,0,544.0000
